country_code,latitude,longitude,country,region,income_group
AFG,33.93911,67.709953,Afghanistan,South Asia,Low income
ALB,41.153332,20.168331,Albania,Europe & Central Asia,Upper middle income
DZA,28.033886,1.659626,Algeria,Middle East & North Africa,Upper middle income
ASM,-14.270972,-170.132217,American Samoa,East Asia & Pacific,High income
AND,42.546245,1.601554,Andorra,Europe & Central Asia,High income
AGO,-11.202692,17.873887,Angola,Sub-Saharan Africa,Lower middle income
ATG,17.060816,-61.796428,Antigua and Barbuda,Latin America & Caribbean,High income
ARG,-38.416097,-63.616672,Argentina,Latin America & Caribbean,Upper middle income
ARM,40.069099,45.038189,Armenia,Europe & Central Asia,Upper middle income
ABW,12.52111,-69.968338,Aruba,Latin America & Caribbean,High income
AUS,-25.274398,133.775136,Australia,East Asia & Pacific,High income
AUT,47.516231,14.550072,Austria,Europe & Central Asia,High income
AZE,40.143105,47.576927,Azerbaijan,Europe & Central Asia,Upper middle income
BHS,25.03428,-77.39628,Bahamas,Latin America & Caribbean,High income
BHR,25.930414,50.637772,Bahrain,Middle East & North Africa,High income
BGD,23.684994,90.356331,Bangladesh,South Asia,Lower middle income
BRB,13.193887,-59.543198,Barbados,Latin America & Caribbean,High income
BLR,53.709807,27.953389,Belarus,Europe & Central Asia,Upper middle income
BEL,50.503887,4.469936,Belgium,Europe & Central Asia,High income
BLZ,17.189877,-88.49765,Belize,Latin America & Caribbean,Upper middle income
BEN,9.30769,2.315834,Benin,Sub-Saharan Africa,Lower middle income
BMU,32.321384,-64.75737,Bermuda,North America,High income
BTN,27.514162,90.433601,Bhutan,South Asia,Lower middle income
BOL,-16.290154,-63.588653,Bolivia,Latin America & Caribbean,Lower middle income
BIH,43.915886,17.679076,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income
BWA,-22.328474,24.684866,Botswana,Sub-Saharan Africa,Upper middle income
BRA,-14.235004,-51.92528,Brazil,Latin America & Caribbean,Upper middle income
IO,-6.343194,71.876519,British Indian Ocean Territory,,
VGB,18.420695,-64.639968,British Virgin Islands,Latin America & Caribbean,High income
BRN,4.535277,114.727669,Brunei,East Asia & Pacific,High income
BGR,42.733883,25.48583,Bulgaria,Europe & Central Asia,High income
BFA,12.238333,-1.561593,Burkina Faso,Sub-Saharan Africa,Low income
BDI,-3.373056,29.918886,Burundi,Sub-Saharan Africa,Low income
CIV,7.539989,-5.54708,Côte d’Ivoire,Sub-Saharan Africa,Lower middle income
KHM,12.565679,104.990963,Cambodia,East Asia & Pacific,Lower middle income
CMR,7.369722,12.354722,Cameroon,Sub-Saharan Africa,Lower middle income
CAN,56.130366,-106.346771,Canada,North America,High income
CYM,19.513469,-80.566956,Cayman Islands,Latin America & Caribbean,High income
CAF,6.611111,20.939444,Central African Republic,Sub-Saharan Africa,Low income
TCD,15.454166,18.732207,Chad,Sub-Saharan Africa,Low income
CHL,-35.675147,-71.542969,Chile,Latin America & Caribbean,High income
CHN,35.86166,104.195397,China,East Asia & Pacific,Upper middle income
COL,4.570868,-74.297333,Colombia,Latin America & Caribbean,Upper middle income
COM,-11.875001,43.872219,Comoros,Sub-Saharan Africa,Lower middle income
COD,-4.038333,21.758664,Congo [DRC],Sub-Saharan Africa,Low income
COG,-0.228021,15.827659,Congo [Republic],Sub-Saharan Africa,Lower middle income
CRI,9.748917,-83.753428,Costa Rica,Latin America & Caribbean,Upper middle income
HRV,45.1,15.2,Croatia,Europe & Central Asia,High income
CUB,21.521757,-77.781167,Cuba,Latin America & Caribbean,Upper middle income
CYP,35.126413,33.429859,Cyprus,Europe & Central Asia,High income
CZE,49.817492,15.472962,Czech Republic,Europe & Central Asia,High income
DNK,56.26392,9.501785,Denmark,Europe & Central Asia,High income
DJI,11.825138,42.590275,Djibouti,Middle East & North Africa,Lower middle income
DMA,15.414999,-61.370976,Dominica,Latin America & Caribbean,Upper middle income
DOM,18.735693,-70.162651,Dominican Republic,Latin America & Caribbean,Upper middle income
ECU,-1.831239,-78.183406,Ecuador,Latin America & Caribbean,Upper middle income
EGY,26.820553,30.802498,Egypt,Middle East & North Africa,Lower middle income
SLV,13.794185,-88.89653,El Salvador,Latin America & Caribbean,Upper middle income
GNQ,1.650801,10.267895,Equatorial Guinea,Sub-Saharan Africa,Upper middle income
ERI,15.179384,39.782334,Eritrea,Sub-Saharan Africa,Low income
EST,58.595272,25.013607,Estonia,Europe & Central Asia,High income
ETH,9.145,40.489673,Ethiopia,Sub-Saharan Africa,Low income
FRO,61.892635,-6.911806,Faroe Islands,Europe & Central Asia,High income
FJI,-16.578193,179.414413,Fiji,East Asia & Pacific,Upper middle income
FIN,61.92411,25.748151,Finland,Europe & Central Asia,High income
FRA,46.227638,2.213749,France,Europe & Central Asia,High income
PYF,-17.679742,-149.406843,French Polynesia,East Asia & Pacific,High income
GAB,-0.803689,11.609444,Gabon,Sub-Saharan Africa,Upper middle income
GMB,13.443182,-15.310139,Gambia,Sub-Saharan Africa,Low income
GEO,42.315407,43.356892,Georgia,Europe & Central Asia,Upper middle income
DEU,51.165691,10.451526,Germany,Europe & Central Asia,High income
GHA,7.946527,-1.023194,Ghana,Sub-Saharan Africa,Lower middle income
GIB,36.137741,-5.345374,Gibraltar,Europe & Central Asia,High income
GRC,39.074208,21.824312,Greece,Europe & Central Asia,High income
GRL,71.706936,-42.604303,Greenland,Europe & Central Asia,High income
GRD,12.262776,-61.604171,Grenada,Latin America & Caribbean,Upper middle income
GUM,13.444304,144.793731,Guam,East Asia & Pacific,High income
GTM,15.783471,-90.230759,Guatemala,Latin America & Caribbean,Upper middle income
GIN,9.945587,-9.696645,Guinea,Sub-Saharan Africa,Lower middle income
GNB,11.803749,-15.180413,Guinea-Bissau,Sub-Saharan Africa,Low income
GUY,4.860416,-58.93018,Guyana,Latin America & Caribbean,High income
HTI,18.971187,-72.285215,Haiti,Latin America & Caribbean,Lower middle income
HND,15.199999,-86.241905,Honduras,Latin America & Caribbean,Lower middle income
